Младенческая смертность;Люди с доходом < прож. мин. (млн.);Браки;Разводы;Мед. орг., тыс.;Родившиеся, чел;Продолжительность жизни (в среднем), лет;Реальный ВВП, млрд. (в ценах 2000 года);Число преступлений (тыс.)
18407;35,6;1019762;853647;10,3;1396967;64,9;9025;2526,3
18142;29,3;1091778;798824;10,1;1477301;64,8;12039;2756,4
17339;25,2;979667;635835;9,8;1502477;65,3;14207;2893,8
16073;25,4;1066366;604942;9,5;1457376;65,3;18021;3554,7
15079;21,6;1113562;640837;7,5;1479637;66,6;22420;3855,4
14858;18,8;1262500;685910;6,8;1610122;67,6;30101;3582,5
14436;19;1179007;703412;6,5;1713947;67,9;34723;3209,9
14271;18,4;1199446;699430;6,5;1761687;68,7;32634;2994,8
13405;17,7;1215066;639321;6,3;1788948;68,9;40337;2628,8
13168;17,9;1316011;669376;6,3;1796629;69,8;42071;2404,8
16306;15,4;1213598;644101;6,2;1902084;70,2;43544;2302,2
15477;15,5;1225501;667971;5,9;1895822;70,8;44110;2206,2
14322;16,1;1225985;693730;5,6;1942683;70,9;46756;2190,6
12664;19,5;1161068;611646;5,4;1940579;71,4;45026;2388,5
11428;19,5;985836;608336;5,4;1888729;71,9;44126;2160,1
9577;19,3;1049735;611436;5,3;1690307;72,7;44788;2058,5
